M7_20_10_2-3_64_50_100_100_0.001,0,0.9759450172,0.9389671362,0.8548387097,0.8484848485,0.8461538462,0.8292682927,0.8867924528,0.8829214719
M7_20_10_2-3_64_50_100_200_0.001,0,0.968641115,0.9326923077,0.8363636364,0.8,0.8,0.9117647059,0.8548387097,0.8720429249
M7_20_10_2-3_64_50_100_400_0.01,0,0.9545454545,0.9353233831,0.8474576271,0.8405797101,0.813559322,0.8405797101,0.8679245283,0.8714242479
M7_20_10_2-3_64_50_100_400_0.0001,0,0.9731343284,0.9441624365,0.819047619,0.8571428571,0.7931034483,0.8533333333,0.8260869565,0.866572997
M7_20_10_2-3_64_50_100_500_0.0001,0,0.9673202614,0.9437229437,0.8155339806,0.8169014085,0.8253968254,0.7837837838,0.8686868687,0.860192296
M7_20_10_2-3_64_50_100_500_0.001,0,0.9527272727,0.911627907,0.8188976378,0.8,0.8181818182,0.8571428571,0.7619047619,0.8457831792
M7_20_10_2-3_64_50_100_100_0.01,0,0.9691358025,0.9345794393,0.7603305785,0.7346938776,0.8,0.875,0.8292682927,0.8432868558
M7_20_10_2-3_64_50_100_300_0.001,0,0.9576547231,0.9259259259,0.8547008547,0.84375,0.7058823529,0.7857142857,0.8256880734,0.8427594594
M7_20_10_2-3_64_50_100_300_0.0001,0,0.9724770642,0.9333333333,0.7572815534,0.8275862069,0.6666666667,0.9014084507,0.7912087912,0.8357088666
M7_20_10_2-3_64_50_100_400_0.001,0,0.9646302251,0.9444444444,0.8181818182,0.7301587302,0.8148148148,0.7532467532,0.8224299065,0.8354152418
M7_20_10_2-3_64_50_100_200_0.01,0,0.9565217391,0.9090909091,0.796460177,0.7096774194,0.8148148148,0.8358208955,0.8148148148,0.8338858242
M7_20_10_2-3_64_50_100_300_0.01,0,0.9573170732,0.9004739336,0.8166666667,0.7719298246,0.6976744186,0.8767123288,0.8148148148,0.83365558
M7_20_10_2-3_64_50_100_500_0.01,0,0.9492537313,0.8947368421,0.8155339806,0.7333333333,0.8,0.7887323944,0.8275862069,0.8298823555
M7_20_10_2-3_64_50_100_200_0.0001,0,0.9541284404,0.9316239316,0.7184466019,0.8405797101,0.5384615385,0.7037037037,0.8915662651,0.7969300273
M7_20_10_2-3_64_50_100_100_0.0001,0,0.9333333333,0.8356807512,0.6666666667,0.6545454545,0.4081632653,0.5714285714,0.8333333333,0.7004501965
M7_20_10_2-3_64_50_100_500_1e-05,0,0.9169435216,0.8076923077,0.6197183099,0.2666666667,0.38,0.4375,0.7766990291,0.6007456907
M7_20_10_2-3_64_50_100_400_1e-05,0,0.866894198,0.7403846154,0.5137614679,0.3296703297,0.2635658915,0.3298969072,0.6964285714,0.5343717116
M7_20_10_2-3_64_50_100_300_1e-05,0,0.8231511254,0.6127659574,0.515625,0.1428571429,0.1846153846,0.3146067416,0.7438016529,0.476774715
M7_20_10_2-3_64_50_100_200_1e-05,0,0.823943662,0.5833333333,0.3391812866,0.2051282051,0.2255639098,0.3307086614,0.4459459459,0.4219721434
M7_20_10_2-3_64_50_100_100_1e-05,0,0.6402116402,0.4885993485,0.2608695652,0.2391304348,0.1818181818,0.3064516129,0.3606557377,0.3539623602
